FAAM-ID,Title,Permalink,"Holding Institution","Score format","Score complexity","GitHub Image URL"
KCA-030901351285,"Sérénade andalouse: pour violon et piano, op. 28",https://anet.be/record/opacdkvc/c:lvd:6849733/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901351285/images/
KCA-030901292380,"Sérénade andalouse: pour violon et piano, op. 28",https://anet.be/record/opacdkvc/c:lvd:6849733/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901292380/images/
KCA-030902809604,"Violin concerto : G major, KV 216 = Concierto para violin: sol mayor, KV 216",https://anet.be/record/opacdkvc/c:lvd:14001255/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902809604/images/
KCA-030902707238,"Chacone grave",https://anet.be/record/opacdkvc/c:lvd:13122713/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902707238/images/
KCA-030902508966,"Cours pratique et théorique d'harmonie",https://anet.be/record/opacdkvc/c:lvd:12958873/N,"Heritage Library Royal Conservatoire Antwerp","Music Treatise","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902508966/images/
KCA-030904338792,"Cours pratique et théorique d'harmonie",https://anet.be/record/opacdkvc/c:lvd:12958873/N,"Heritage Library Royal Conservatoire Antwerp","Music Treatise","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030904338792/images/
KCA-030902707634,"Huit petits préludes et fugues, trois préludes, neuf fugues, cinq fantaisies",https://anet.be/record/opacdkvc/c:lvd:13125745/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902707634/images/
KCA-030904127666,"Festpräludium : zu dem Choral ""Ein' feste Burg ist unser Gott"": für die Orgel, op. 38",https://anet.be/record/opacdkvc/c:lvd:14807728/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030904127666/images/
KCA-030902687190,"Adoration Opus 21",https://anet.be/record/opacdkvc/c:lvd:13133612/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902687190/images/
KCA-030903994140,"Six ecossaises",https://anet.be/record/opacdkvc/c:lvd:6709916/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Mechanical print",
KCA-030902146916,"1re Suite",https://anet.be/record/opacdkvc/c:lvd:12917288/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902146916/images/
KCA-030902146932,"1re Suite",https://anet.be/record/opacdkvc/c:lvd:12917288/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902146932/images/
KCA-030903966619,"1re Suite",https://anet.be/record/opacdkvc/c:lvd:12917288/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030903966619/images/
